Школа,Область,Район,Дата заповнення анкети,"В Україні незаможні люди, зазвичай, є кращими, ніж люди із великими статками",Для вирішення проблеми корупції потрібно посадити всіх корупціонерів за грати,Запорукою успіху в житті є…?,Вчитись потрібно в першу чергу тому що…?,Якою мірою слід дозволяти переїжджати до України людям іншої раси чи національності,Хто така еліта?,Пропозиції «швидко розбагатіти в інтернеті» можуть бути дійсно хорошими,"За погану дорогу в селі, в першу чергу, несе відповідальність…",В Україні існує достатньо можливостей заробляти багато грошей чесним способом,Говорити про секс – соромно,Якщо щось пішло не так – у першу чергу потрібно знайти винних і покарати їх,Якщо щось пішло не так – у першу чергу треба знайти винних і покарати чи знайти збої в системі і причини помилки?,Який із запропонованих сценаріїв життя був би найбільш прийнятним для тебе?,Що ти думаєш про майбутнє України?,Кому ти найбільше довіряєш?,Наука – це щось нудне й далеке від практичного життя,Керівництво держави має отримувати заробітну плату не більше ніж середньостатистичний громадянин,"Якщо є людина, що курила і дожила до 100 років, то куріння не є таким шкідливим, як про це говорять","Для суспільства культура та мистецтво менш важливі, ніж деякі інші аспекти",Чи вважаєш ти себе щасливою людиною?,ЛГБТ-людей треба вилікувати чи виправити,"Бізнесмен - це той, хто забезпечує розвиток економіки і наполегливо працює задля досягнення успіху","Наскільки, на твій погляд, нинішня політична система в Україні дозволяє таким людям, як Ти, впливати на політику?",Помилятись – це погано і ознака поразки та неуспіху,"Мати хороше життя, народившись в селі, майже не реально",Ким ти себе перш за все вважаєш?,"Який основний мотив людей в Україні, які йдуть у політику чи на державну службу?",Для мене гідність залежить від мого успіху та визнання іншими,Вік,"З якими проблемами ти можеш звернутися до батьків або інших дорослих, які про тебе піклуються?","Чи вистачає тобі спілкування з батьками/іншими дорослими, які тебе опікають?",Стать
Косівський ліцей імені Ігоря Пелипейка,Івано-Франківська область,Косівський,2024-10-16,"Ні, скоріше не погоджуюсь","Так, повністю погоджуюсь",Гарні зв’язки із впливовими людьми,Отримати атестат і диплом - це престижно в Україні,Слід дозволяти багатьом таким людям переїжджати до України,багаті люди,"Ні, повністю не погоджуюсь","Місцева влада (голова ОТГ, місцева рада тощо)","Ні, скоріше не погоджуюсь","Ні, повністю не погоджуюсь","Ні, повністю не погоджуюсь",Знайти збої,"Навчатись за кордоном і лишитись там жити, але допомагати Україні якимось чином","Ситуація не буде погіршуватись, але навряд чи і покращиться",Нікому,"Ні, скоріше не погоджуюсь","Так, скоріше погоджуюсь","Ні, повністю не погоджуюсь","Так, скоріше погоджуюсь",Нейтрально,"Ні, повністю не погоджуюсь","Так, скоріше погоджуюсь",Дуже мало дозволяє,"Ні, повністю не погоджуюсь","Ні, скоріше не погоджуюсь",Громадянином світу,Покращити власне матеріальне становище або просто красти,"Так, повністю погоджуюсь",14,"['Проблеми в школі', ""Проблеми зі здоров'ям (фізичне, психологічне)""]","Ні, повністю не вистачає",дівчина
Косівський ліцей імені Ігоря Пелипейка,Івано-Франківська область,Косівський,2024-10-16,"Так, скоріше погоджуюсь","Так, повністю погоджуюсь",Докладені зусилля при навчанні та роботі,Зусилля при навчанні напряму впливають на мій життєвий успіх,Слід дозволяти багатьом таким людям переїжджати до України,багаті люди,"Ні, скоріше не погоджуюсь","Місцева влада (голова ОТГ, місцева рада тощо)","Ні, повністю не погоджуюсь","Ні, повністю не погоджуюсь","Ні, скоріше не погоджуюсь",Радше винних,"Навчатись і працювати в Україні, будувати своє життя в Україні","Ситуація не буде погіршуватись, але навряд чи і покращиться","Батькам або іншим дорослим, які за тебе відповідають","Так, скоріше погоджуюсь","Так, повністю погоджуюсь","Ні, скоріше не погоджуюсь","Ні, скоріше не погоджуюсь",Нейтрально,"Так, повністю погоджуюсь","Ні, скоріше не погоджуюсь",Зовсім не дозволяє,"Ні, повністю не погоджуюсь","Ні, повністю не погоджуюсь",Громадянином України,Покращити власне матеріальне становище або просто красти,"Так, скоріше погоджуюсь",15,"['Дружні стосунки', 'Шкідливі речовини', 'Цькування в соцмережах', ""Проблеми зі здоров'ям (фізичне, психологічне)"", 'Конфлікти з членами родини', 'Романтичні стосунки', 'Проблеми в школі']","Так, скоріше вистачає",дівчина
Косівський ліцей імені Ігоря Пелипейка,Івано-Франківська область,Косівський,2024-10-16,"Ні, скоріше не погоджуюсь","Так, повністю погоджуюсь",Докладені зусилля при навчанні та роботі,Отримати атестат і диплом - це престижно в Україні,Слід дозволяти багатьом таким людям переїжджати до України,"люди, які несуть за щось відповідальність перед іншими","Ні, скоріше не погоджуюсь","Місцева влада (голова ОТГ, місцева рада тощо)","Ні, скоріше не погоджуюсь","Ні, повністю не погоджуюсь","Так, скоріше погоджуюсь",NA,"Навчатись і працювати в Україні, будувати своє життя в Україні","Ситуація не буде погіршуватись, але навряд чи і покращиться",Нікому,"Ні, скоріше не погоджуюсь","Так, повністю погоджуюсь","Ні, повністю не погоджуюсь","Ні, скоріше не погоджуюсь",Щасливий,"Ні, повністю не погоджуюсь","Ні, скоріше не погоджуюсь",Зовсім не дозволяє,"Ні, повністю не погоджуюсь","Ні, повністю не погоджуюсь",Громадянином України,Покращити власне матеріальне становище або просто красти,"Так, скоріше погоджуюсь",14,"['Дружні стосунки', 'Романтичні стосунки', 'Шкідливі речовини', ""Проблеми зі здоров'ям (фізичне, психологічне)"", 'Проблеми в школі']","Так, повністю вистачає",дівчина
Косівський ліцей імені Ігоря Пелипейка,Івано-Франківська область,Косівський,2024-10-16,"Ні, скоріше не погоджуюсь","Так, повністю погоджуюсь",Докладені зусилля при навчанні та роботі,Зусилля при навчанні напряму впливають на мій життєвий успіх,Слід дозволяти багатьом таким людям переїжджати до України,багаті люди,"Ні, скоріше не погоджуюсь",NA,"Так, скоріше погоджуюсь","Так, повністю погоджуюсь","Ні, повністю не погоджуюсь",Радше знайти збої,"Навчатись в Україні, а потім виїхати працювати і будувати своє життя за кордоном","Ситуація не буде погіршуватись, але навряд чи і покращиться","Батькам або іншим дорослим, які за тебе відповідають","Ні, скоріше не погоджуюсь","Так, повністю погоджуюсь","Ні, повністю не погоджуюсь","Так, скоріше погоджуюсь",Щасливий,"Так, повністю погоджуюсь","Так, скоріше погоджуюсь",Зовсім не дозволяє,"Ні, повністю не погоджуюсь","Ні, повністю не погоджуюсь",Громадянином України,Задовольнити власні амбіції,"Ні, скоріше не погоджуюсь",14,"['Дружні стосунки', 'Романтичні стосунки', 'Проблеми в школі', 'Конфлікти з членами родини', ""Проблеми зі здоров'ям (фізичне, психологічне)"", 'Шкідливі речовини']","Ні, скоріше  не вистачає",хлопець
Косівський ліцей імені Ігоря Пелипейка,Івано-Франківська область,Косівський,2024-10-16,Важко відповісти,"Так, повністю погоджуюсь",Походження та гени,Батьки цього дуже хочуть і вважають це правильним,Слід дозволяти багатьом таким людям переїжджати до України,багаті люди,"Ні, скоріше не погоджуюсь","Місцева влада (голова ОТГ, місцева рада тощо)","Ні, повністю не погоджуюсь","Ні, повністю не погоджуюсь","Ні, скоріше не погоджуюсь",Рівнозначно,"Навчатись в Україні, а потім виїхати працювати і будувати своє життя за кордоном","Ситуація не буде погіршуватись, але навряд чи і покращиться",Друзям,"Ні, скоріше не погоджуюсь","Так, повністю погоджуюсь","Так, скоріше погоджуюсь","Так, скоріше погоджуюсь",Нейтрально,"Так, повністю погоджуюсь","Так, скоріше погоджуюсь",Зовсім не дозволяє,"Ні, скоріше не погоджуюсь","Ні, скоріше не погоджуюсь",Громадянином України,Задовольнити власні амбіції,"Ні, скоріше не погоджуюсь",14,"['Цькування в соцмережах', ""Проблеми зі здоров'ям (фізичне, психологічне)"", 'Конфлікти з членами родини', 'Проблеми в школі']","Так, скоріше вистачає",хлопець
Косівський ліцей імені Ігоря Пелипейка,Івано-Франківська область,Косівський,2024-10-16,"Ні, скоріше не погоджуюсь","Так, повністю погоджуюсь",Докладені зусилля при навчанні та роботі,"А я вважаю, що навчання - це порожня трата часу",Важко відповісти,"люди, які несуть за щось відповідальність перед іншими","Ні, повністю не погоджуюсь","Центральна влада (Президент, Уряд, Верховна рада України)","Так, повністю погоджуюсь","Так, скоріше погоджуюсь",Важко відповісти,Радше знайти збої,NA,"Ситуація не буде погіршуватись, але навряд чи і покращиться","Батькам або іншим дорослим, які за тебе відповідають","Так, скоріше погоджуюсь","Так, повністю погоджуюсь","Так, повністю погоджуюсь","Так, повністю погоджуюсь",Дуже нещасливий,"Так, повністю погоджуюсь","Так, повністю погоджуюсь",Зовсім не дозволяє,"Ні, повністю не погоджуюсь","Ні, повністю не погоджуюсь",Інше,Задовольнити власні амбіції,"Ні, повністю не погоджуюсь",14,"['Проблеми в школі', ""Проблеми зі здоров'ям (фізичне, психологічне)"", 'Дружні стосунки', 'Шкідливі речовини']","Так, повністю вистачає",хлопець
Косівський ліцей імені Ігоря Пелипейка,Івано-Франківська область,Косівський,2024-10-16,"Так, скоріше погоджуюсь","Ні, повністю не погоджуюсь",Докладені зусилля при навчанні та роботі,Зусилля при навчанні напряму впливають на мій життєвий успіх,Слід дозволяти багатьом таким людям переїжджати до України,багаті люди,"Ні, скоріше не погоджуюсь","Місцева влада (голова ОТГ, місцева рада тощо)","Ні, повністю не погоджуюсь","Ні, скоріше не погоджуюсь","Так, скоріше погоджуюсь",Винних,"Навчатись за кордоном, повернутись працювати і будувати своє життя в Україні",Важко відповісти,Родичам,"Так, скоріше погоджуюсь","Так, повністю погоджуюсь","Ні, скоріше не погоджуюсь","Ні, скоріше не погоджуюсь",Нейтрально,"Так, скоріше погоджуюсь","Так, скоріше погоджуюсь",Зовсім не дозволяє,"Ні, скоріше не погоджуюсь","Ні, скоріше не погоджуюсь",Громадянином України,Покращити власне матеріальне становище або просто красти,"Так, скоріше погоджуюсь",NA,"[""Проблеми зі здоров'ям (фізичне, психологічне)"", 'Конфлікти з членами родини']","Ні, повністю не вистачає",дівчина
Косівський ліцей імені Ігоря Пелипейка,Івано-Франківська область,Косівський,2024-10-16,"Так, скоріше погоджуюсь","Так, повністю погоджуюсь",Докладені зусилля при навчанні та роботі,Це дозволяє здобути нові знання та навички,Слід дозволяти багатьом таким людям переїжджати до України,багаті люди,"Ні, скоріше не погоджуюсь","Місцева влада (голова ОТГ, місцева рада тощо)","Так, повністю погоджуюсь",NA,NA,Рівнозначно,"Навчатись за кордоном, повернутись працювати і будувати своє життя в Україні",Скоріш за все ситуація буде покращуватись,"Батькам або іншим дорослим, які за тебе відповідають","Ні, повністю не погоджуюсь","Так, повністю погоджуюсь","Так, повністю погоджуюсь","Ні, повністю не погоджуюсь",Щасливий,"Ні, повністю не погоджуюсь","Так, скоріше погоджуюсь",Дуже мало дозволяє,"Ні, повністю не погоджуюсь","Ні, повністю не погоджуюсь",Важко відповісти/немає відповіді,Покращити власне матеріальне становище або просто красти,"Так, скоріше погоджуюсь",16,"['Романтичні стосунки', ""Проблеми зі здоров'ям (фізичне, психологічне)"", 'Конфлікти з членами родини', 'Проблеми в школі', 'Дружні стосунки']","Так, скоріше вистачає",дівчина
Косівський ліцей імені Ігоря Пелипейка,Івано-Франківська область,Косівський,2024-10-16,"Так, скоріше погоджуюсь","Так, повністю погоджуюсь",NA,Зусилля при навчанні напряму впливають на мій життєвий успіх,Не дозволяти нікому,багаті люди,"Ні, скоріше не погоджуюсь","Місцева влада (голова ОТГ, місцева рада тощо)","Ні, скоріше не погоджуюсь","Ні, скоріше не погоджуюсь","Так, повністю погоджуюсь",Рівнозначно,"Навчатись і працювати в Україні, будувати своє життя в Україні",Скоріш за все ситуація буде покращуватись,"Батькам або іншим дорослим, які за тебе відповідають","Ні, скоріше не погоджуюсь","Так, повністю погоджуюсь","Так, повністю погоджуюсь","Ні, скоріше не погоджуюсь",Щасливий,NA,"Так, скоріше погоджуюсь",NA,"Ні, повністю не погоджуюсь","Ні, скоріше не погоджуюсь",Громадянином України,Важко сказати,Важко відповісти,14,"['Проблеми в школі', 'Шкідливі речовини', ""Проблеми зі здоров'ям (фізичне, психологічне)"", 'Конфлікти з членами родини']","Так, повністю вистачає",дівчина
Косівський ліцей імені Ігоря Пелипейка,Івано-Франківська область,Косівський,2024-10-16,"Так, повністю погоджуюсь",NA,Хитрість та вміння обманювати людей,Зусилля при навчанні напряму впливають на мій життєвий успіх,Слід дозволяти багатьом таким людям переїжджати до України,багаті люди,"Так, повністю погоджуюсь","Місцева влада (голова ОТГ, місцева рада тощо)","Так, повністю погоджуюсь","Ні, повністю не погоджуюсь","Ні, скоріше не погоджуюсь",Рівнозначно,"Навчатись і працювати в Україні, будувати своє життя в Україні",Скоріш за все ситуація буде покращуватись,Нікому,"Так, скоріше погоджуюсь","Так, повністю погоджуюсь","Так, повністю погоджуюсь",NA,Щасливий,"Ні, повністю не погоджуюсь","Так, скоріше погоджуюсь",Певною мірою дозволяє,"Ні, повністю не погоджуюсь","Ні, повністю не погоджуюсь",Важко відповісти/немає відповіді,Покращити власне матеріальне становище або просто красти,"Так, скоріше погоджуюсь",17,Важко відповісти,"Так, скоріше вистачає",дівчина
